FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Christian,Atsu,MID,NEW,5200000,0,0,0,0,0,0,6119,0,0,0,0,0,0,0,0,4,-3,0,0,3,0,0,0,0,0,0,0,0,0,927,0,-1,0,0,0,0,0,0,0,Man Utd,Wolverhampton,West Brom,Aston Villa,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,11300000,2,95,4.5,3.98230088495575E-07,8.4070796460177E-06,0,3296744,2,19,0,0,0,8,0,8.4,7721,-7,0,95,7,0.4,0,4,9,0,7,0,1,6.7,617344,1,-1,0,2,1754,4489,0,0,268,Man City,Leicester,Burnley,Tottenham,West Ham,3.6,4.4,5.5,4,4.4,3.6,5.9,4.6,4.1,4.9,5.1,4.5,4,4.5,128.4
Serge,Aurier,DEF,TOT,5200000,0,55,2.39130434782609,4.59866220735786E-07,1.05769230769231E-05,0,439266,0,13,0,0,0,2,0,10.6,3683,-3,0,55,3,0.3,0,1.5,2,0,4,0,1,1.4,264543,0,-1,0,0,1075,93,0,0,238,West Ham,Burnley,Fulham,Crystal Palace,Arsenal,0,0,0,2.6,2.4,1.7,2.1,2,0,2.1,1.9,2.8,2.3,2.3,60.4
Charlie,Austin,FWD,WBA,5100000,0,5,1,1.96078431372549E-07,9.80392156862745E-07,0,72624,0,5,0,0,0,0,0,1,66,-4,0,5,4,0,0,0,0,0,0,0,0,0.1,16185,0,-1,0,0,135,0,0,0,10,Burnley,Brighton,Everton,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Jordan,Ayew,FWD,CRY,5600000,5,52,2.5,4.46428571428571E-07,9.28571428571429E-06,0,517567,1,27,0,0,0,1,0,9.3,2054,-4,0,52,4,0.6,0,3.2,2,0,3,0,4,1.6,183863,0,-1,0,0,1303,4116,0,0,158,Brighton,Fulham,Man Utd,Tottenham,West Brom,2,4.3,1.8,2.6,0,2.2,2,1.7,1.9,1.9,2.2,1.9,2.1,2.1,68.8
Luke,Ayling,DEF,LEE,4400000,2,55,2.3,5.22727272727273E-07,1.25E-05,0,451007,5,43,0,0,0,0,0,12.5,4067,-1,0,55,1,0.4,0,1.6,1,0,7,0,0,2.5,353156,0,-1,0,0,2139,2028,0,0,432,Wolverhampton,Southampton,Aston Villa,West Ham,Chelsea,4.1,2,2.4,1.6,2.3,1.9,2.7,2.2,1.9,2.1,1.7,1.9,1.6,2.1,112.2
Cesar,Azpilicueta,DEF,CHE,5700000,3,69,2.875,5.04385964912281E-07,1.21052631578947E-05,0,497399,4,9,0,0,0,1,0,12.1,11668,-3,0,69,3,1.1,0,6.3,6,0,8,0,1,4.9,331357,0,-1,0,1,1220,17008,0,0,293,Southampton,Man Utd,Liverpool,Everton,Leeds United F.C.,2,6.1,2,2.4,0,3.2,2.4,2.7,3,3,3.5,3.2,2.7,3.1,60.2
Eric,Bailly,DEF,MUN,4800000,0,19,0.791666666666667,1.64930555555556E-07,3.95833333333333E-06,0,76352,2,11,0,0,0,0,0,4,530,-2,0,19,2,0,0,0,4,0,2,0,0,0.3,70744,0,-1,0,0,548,245,0,0,119,Newcastle,Chelsea,Crystal Palace,Man City,West Ham,0.4,0.8,0.5,0.4,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,15.2
Fabian,Balbuena,DEF,WHU,4200000,0,40,3.3,7.85714285714286E-07,9.52380952380952E-06,0,279957,1,16,0,0,0,1,0,9.5,1192,-3,0,40,3,0,0,0,0,0,4,0,0,0.7,299737,0,-1,0,0,1080,223,0,0,185,Tottenham,Man City,Leeds United F.C.,Man Utd,Arsenal,3.2,4.2,2.8,3.8,3.9,3.9,3.2,2.8,3,3.2,2.5,3.4,3.8,3.1,32.4
George,Baldock,DEF,SHU,4900000,1,30,1.5,3.06122448979592E-07,6.12244897959184E-06,0,311330,4,31,0,0,0,0,0,6.1,307,-6,0,30,6,0.2,0,0.8,0,0,0,0,1,0.8,49408,0,-1,0,0,1753,86,0,0,184,Fulham,Liverpool,Aston Villa,Southampton,Leicester,1.1,2.5,0.9,1,0,0.8,1.2,1.1,1,0.8,1.2,0.8,0.8,0.9,59.6
Gareth,Bale,MID,TOT,9300000,4,22,0.956521739130435,1.02851799906498E-07,2.36559139784946E-06,0,159094,0,6,0,0,0,1,0,2.4,331,-2,0,22,2,0.1,0,1.3,3,0,1,0,1,0.3,164857,0,-1,0,0,292,2191,0,0,61,West Ham,Burnley,Fulham,Crystal Palace,Arsenal,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.7,0.5,0.5,0.5,0.5,28.8
Patrick,Bamford,FWD,LEE,6900000,2,134,5.6,8.11594202898551E-07,1.94202898550725E-05,0,3036647,1,41,0,0,0,12,0,19.4,164843,14,0,134,-14,0.6,0,4.4,16,0,7,0,8,56.7,6750462,0,-1,0,3,2055,30184,0,0,443,Wolverhampton,Southampton,Aston Villa,West Ham,Chelsea,13.5,5.6,6.3,5.9,7.5,7.5,5.5,7.1,6.2,7.4,6.4,6.9,6.8,7.1,188.8
Jamal,Baptiste,DEF,WHU,4000000,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,-1,0,0,0,50,0,0,0,Tottenham,Man City,Leeds United F.C.,Man Utd,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4400000,0,2,0.0833333333333333,1.89393939393939E-08,4.54545454545455E-07,0,42690,2,8,0,0,0,0,0,0.5,90,-1,0,2,1,0,0,0.1,0,0,0,0,0,0.2,12788,0,-1,0,0,273,41,0,0,28,West Brom,Tottenham,Leicester,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9
Ross,Barkley,MID,AVL,5900000,2,58,2.63636363636364,4.46841294298921E-07,9.83050847457627E-06,0,487357,0,16,0,0,0,3,0,9.8,1390,-1,0,58,1,0.6,0,3.3,4,0,7,0,1,0.8,492071,0,-1,0,1,1107,2651,0,0,203,Leicester,Leeds United F.C.,Sheffield United,Wolverhampton,Newcastle,1.4,5,2.1,2.2,1.7,2,1.6,1.5,2.3,2.5,1.4,1.7,1.8,2,98.3
Ashley,Barnes,FWD,BUR,6000000,0,48,2.7,4.5E-07,8E-06,0,83519,4,17,0,0,0,3,0,8,13606,0,0,48,0,0.3,0,1.9,7,0,6,0,0,1.2,159425,0,-1,0,0,1290,2250,0,0,100,West Brom,Tottenham,Leicester,Arsenal,Everton,0,4.3,2.1,2.8,0,2.2,2.9,2.4,2.1,1.9,2.5,2.1,2.6,2.7,88.1
Harvey,Barnes,MID,LEI,6900000,13,125,5.2,7.53623188405797E-07,1.81159420289855E-05,0,1117269,0,23,0,0,0,9,0,18.1,7365,-1,-1,125,1,1.1,0,7.5,13,0,7,0,5,12.3,1749284,0,-1,0,2,1894,307324,1,0,346,Aston Villa,Arsenal,Burnley,Brighton,Sheffield United,5.4,11.8,6.4,6.8,0,4.3,5.7,6,5.3,5.7,5.7,5.3,5.8,4.7,171.6
Kyle,Bartley,DEF,WBA,4400000,6,40,2.4,5.45454545454545E-07,9.09090909090909E-06,0,25639,3,32,0,0,0,2,0,9.1,400,-1,0,40,1,0.6,0,2.7,0,0,2,0,1,0.1,21812,0,-1,0,0,1419,2020,0,0,235,Burnley,Brighton,Everton,Newcastle,Crystal Palace,2,3.3,1.8,1.9,0,1.7,1.9,2.3,2.4,2.8,2.6,2.5,2.4,1.9,55
Chris,Basham,DEF,SHU,4600000,1,38,1.5,3.26086956521739E-07,8.26086956521739E-06,0,141655,3,39,0,0,0,0,0,8.3,993,-4,0,38,4,0.4,0,1.7,2,0,0,0,1,0.6,39829,0,-1,0,0,2036,59,0,0,296,Fulham,Liverpool,Aston Villa,Southampton,Leicester,0,2.5,0.9,1,0,0.8,1.2,1.1,1,0.8,1.2,0.8,0.8,0.9,71.7
Michy,Batshuayi,FWD,CRY,5700000,0,34,1.41666666666667,2.48538011695906E-07,5.96491228070175E-06,0,179490,0,14,0,0,0,1,0,6,805,-3,0,34,3,0.4,0,2.2,1,0,2,0,2,0.6,68691,0,-1,0,0,693,640,0,0,83,Brighton,Fulham,Man Utd,Tottenham,West Brom,0.8,1.7,0.7,1.1,0,0.9,0.8,0.7,0.7,0.7,0.8,0.7,0.8,0.8,39.6
Jan,Bednarek,DEF,SOU,4900000,2,78,3.2,6.53061224489796E-07,1.59183673469388E-05,0,1022483,3,37,0,0,0,1,0,15.9,20774,4,0,78,-4,-0.1,0,-0.3,11,0,8,0,1,7.5,1367306,1,-1,0,2,2065,2080,0,1,419,Chelsea,Leeds United F.C.,Everton,Sheffield United,Man City,5.8,2.9,6.5,3.3,0,3.2,3.4,3.8,0,3.3,3.6,3.6,2.8,3.4,63.2
Hector,Bellerin,DEF,ARS,5100000,1,83,3.8,7.45098039215686E-07,1.62745098039216E-05,0,1015356,8,23,0,0,0,1,0,16.3,7494,1,0,83,-1,0.7,0,3.7,15,0,6,0,3,4.5,961869,0,-1,0,3,1910,5350,0,0,385,Man City,Leicester,Burnley,Tottenham,West Ham,5.2,4.6,4,3.8,4.8,4.7,3.9,4.2,3,3.6,4.5,3.6,4,3.9,86.2
Filip,Benkovic,DEF,LEI,4300000,0,0,0,0,0,0,4988,0,0,0,0,0,0,0,0,5,-2,0,0,2,0,0,0,0,0,0,0,0,0,296,0,-1,0,0,0,0,0,0,0,Aston Villa,Arsenal,Burnley,Brighton,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Bennett,DEF,WOL,4400000,0,0,0,0,0,0,28028,0,0,0,0,0,0,0,0,28,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3905,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Newcastle,Man City,Aston Villa,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Said,Benrahma,MID,WHU,6000000,1,39,1.625,2.70833333333333E-07,6.5E-06,0,54145,0,11,0,0,0,0,0,6.5,999,0,0,39,0,0.4,0,2.5,0,0,2,0,4,0.2,62401,0,-1,0,0,871,243,0,0,137,Tottenham,Man City,Leeds United F.C.,Man Utd,Arsenal,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.1,0.8,1,1.1,1,63.6
Josh,Benson,MID,BUR,4500000,0,10,0.416666666666667,9.25925925925926E-08,2.22222222222222E-06,0,3617,0,7,0,0,0,0,0,2.2,28,0,0,10,0,0,0,0.1,0,0,1,0,0,0,4062,0,-1,0,0,260,23,0,0,27,West Brom,Tottenham,Leicester,Arsenal,Everton,0.2,0.4,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.7
Christian,Benteke,FWD,CRY,5500000,8,51,2.8,5.09090909090909E-07,9.27272727272727E-06,0,130905,0,16,0,0,0,4,0,9.3,1453,0,0,51,0,0.5,0,2.8,6,0,1,0,2,0.5,142698,0,-1,0,2,807,2300,0,1,142,Brighton,Fulham,Man Utd,Tottenham,West Brom,2.4,5.1,2.2,3.1,0,2.6,2.4,2.1,2.3,2.3,2.6,2.2,2.5,2.5,83.2
Sander,Berge,MID,SHU,4900000,0,29,2.2,4.48979591836735E-07,5.91836734693878E-06,0,30910,4,19,0,0,0,1,0,5.9,105,-1,0,29,1,0,0,0,1,0,0,0,1,0.1,23614,0,-1,0,0,1015,10,0,0,148,Fulham,Liverpool,Aston Villa,Southampton,Leicester,0,0,0,0,0,1.4,1.4,1.2,1.6,1.2,1.6,1.7,1.4,1.9,47
